Town,1990,1992,1997,2001,2002,2007,2012,2017,2018,diff,diff_pct
Enfield,12.0,11.9,12.02,13.24,13.94,12.15,12.01,12.27,12.41,0.41000000000000014,3.416666666666668
Essex,2.3,2.3,1.84,1.75,1.75,1.41,1.56,2.27,2.91,0.6100000000000003,26.521739130434796
Fairfield,2.0,2.1,241.0,2.7,2.71,2.52,2.62,2.25,2.43,0.43000000000000016,21.500000000000007
Farmington,3.9,4.1,5.15,6.57,7.36,7.42,7.55,7.78,7.88,3.98,102.05128205128206
Franklin,2.5,2.5,2.18,2.25,2.25,1.83,2.2,6.36,5.58,3.08,123.2
Glastonbury,5.3,5.8,7.01,6.57,6.62,5.88,5.51,5.37,5.41,0.11000000000000032,2.0754716981132137
Goshen,0.7,0.5,0.22,0.27,0.27,0.4,0.36,0.36,0.24,-0.45999999999999996,-65.71428571428572
Granby,3.4,3.4,3.77,3.99,3.73,3.14,3.07,3.1,3.1,-0.2999999999999998,-8.823529411764701
Greenwich,3.9,3.9,4.8,5.07,4.39,5.08,5.13,5.02,5.06,1.1599999999999997,29.743589743589737
Griswold,9.1,8.8,6.82,8.54,9.21,6.64,6.57,7.58,6.68,-2.42,-26.593406593406595
Groton,8.0,21.8,20.92,22.37,25.71,21.45,20.39,22.5,22.52,14.52,181.5
Guilford,1.7,1.8,1.61,1.78,1.67,1.94,2.12,2.38,2.39,0.6900000000000002,40.58823529411766
Haddam,1.7,1.6,1.38,1.28,1.28,1.17,1.08,1.4,1.4,-0.30000000000000004,-17.647058823529413
Hamden,7.0,5.5,6.89,8.46,8.84,8.08,6.61,8.19,8.47,1.4700000000000006,21.000000000000007
Hampton,1.3,1.5,203.0,2.88,2.73,2.59,2.27,3.28,1.77,0.47,36.15384615384615
Hartford,27.8,29.5,33.66,39.76,35.99,34.64,37.14,38.35,38.67,10.870000000000001,39.10071942446043
Hartland,3.0,3.0,2.51,2.64,2.5,0.53,0.93,0.58,0.7,-2.3,-76.66666666666666
Harwinton,2.4,2.3,2.24,2.52,2.67,1.93,2.1,2.41,2.23,-0.16999999999999993,-7.08333333333333
Hebron,2.7,4.1,2.99,2.57,2.6,2.6,2.75,2.78,2.8,0.09999999999999964,3.7037037037036904
Kent,2.1,1.9,2.46,2.39,2.73,3.62,3.12,3.84,2.52,0.41999999999999993,19.999999999999996
Killingly,7.3,8.3,10.34,15.68,16.91,11.35,12.63,12.29,10.99,3.6900000000000004,50.54794520547946
Killingworth,0.5,0.4,0.23,0.18,0.18,0.44,0.46,1.08,0.96,0.45999999999999996,92.0
Lebanon,2.4,3.6,362.0,3.97,3.97,2.66,2.75,3.65,3.36,0.96,40.0
Ledyard,6.2,6.0,4.93,4.79,5.11,3.34,3.44,4.09,4.13,-2.0700000000000003,-33.38709677419355
Lisbon,5.1,4.9,5.07,5.5,5.76,2.69,2.6,3.29,2.89,-2.2099999999999995,-43.33333333333333
Litchfield,3.0,2.9,501.0,5.32,5.29,5.24,4.58,4.81,4.7,1.7000000000000002,56.66666666666668
Lyme,0.6,0.0,0.57,0.51,0.51,0.61,0.82,0.82,2.53,1.9299999999999997,321.66666666666663
Madison,1.3,1.2,1.77,1.76,1.79,1.58,1.59,1.62,1.64,0.33999999999999986,26.153846153846143
Manchester,11.2,12.2,10.77,12.22,14.01,15.15,14.64,14.06,14.2,3.0,26.78571428571429
Mansfield,6.1,7.0,7.45,7.59,7.92,11.84,10.94,6.91,6.71,0.6100000000000003,10.000000000000005
Marlborough,1.5,3.5,2.7,2.43,2.43,1.99,1.84,2.05,2.13,0.6299999999999999,41.99999999999999
Meriden,14.8,15.5,18.34,20.16,19.09,14.6,14.71,16.06,15.75,0.9499999999999993,6.418918918918914
Middlebury,0.7,0.7,4.02,6.58,3.79,3.77,3.46,4.22,4.25,3.55,507.14285714285717
Middlefield,3.0,3.1,3.06,3.22,3.22,2.47,2.25,2.58,2.74,-0.2599999999999998,-8.666666666666659
Middletown,17.3,18.8,19.03,19.59,20.36,17.14,20.81,21.55,22.1,4.800000000000001,27.745664739884397
Milford,4.0,4.5,4.61,5.87,5.92,6.4,6.05,5.35,5.28,1.2800000000000002,32.00000000000001
Monroe,0.8,0.7,0.73,0.83,0.77,0.7,0.81,1.16,1.34,0.54,67.5
Montville,6.7,7.0,5.64,5.76,6.16,3.92,4.21,5.1,4.97,-1.7300000000000004,-25.820895522388067
Morris,0.5,0.5,2.11,2.2,2.2,1.78,1.67,2.21,2.21,1.71,342.0
Naugatuck,10.7,10.9,9.95,10.62,10.36,8.08,8.31,8.49,8.52,-2.1799999999999997,-20.373831775700932
New Britain,17.3,17.2,17.46,18.9,19.64,17.62,20.32,18.46,18.16,0.8599999999999994,4.97109826589595
New Canaan,1.4,1.4,2.25,1.99,1.82,2.49,2.42,2.73,3.44,2.04,145.71428571428572
New Fairfield,0.9,1.0,1.06,1.34,1.55,0.52,0.68,1.39,1.43,0.5299999999999999,58.88888888888888
New Hartford,1.5,1.8,1.46,1.65,1.69,3.12,2.26,2.81,2.77,1.27,84.66666666666667
New Haven,24.1,23.3,28.73,33.67,31.05,29.87,29.14,31.77,31.88,7.779999999999998,32.28215767634854
New London,19.2,17.3,17.75,20.16,21.23,20.55,19.9,23.09,22.47,3.2699999999999996,17.031249999999996
New Milford,3.1,6.1,3.1,3.32,4.19,2.24,5.38,3.71,4.34,1.2399999999999998,39.99999999999999
Newington,4.8,4.2,5.42,7.56,7.97,6.53,7.17,8.29,8.58,3.7800000000000002,78.75
Newtown,1.9,1.9,1.98,3.2,3.34,1.91,1.73,2.32,2.46,0.56,29.473684210526322
Norfolk,5.0,4.3,3.59,3.79,3.67,1.49,3.21,3.72,1.65,-3.35,-67.0
North Branford,2.4,2.6,2.36,2.25,2.36,2.25,2.2,2.29,2.22,-0.17999999999999972,-7.4999999999999885
North Canaan,7.4,8.4,8.85,5.82,5.89,7.83,6.81,9.33,9.58,2.1799999999999997,29.459459459459453
